userName,score,at,content
Dian Saidi,4,2023-07-04 16:29:23,"Setelah update dan login diminta input kode OTP yang dikirim lewat nomor terdaftar, sudah BENAR tapi di nyatakan SALAH. Sepertinya terjadi bug, tapi tenang. Cara mengatasi itu, cukup keluar aplikasi dan masuk lagi. Setelah itu otomatis masuk di akun tanpa perlu login lagi. Semoga membantu ya teman teman 😇"
Anyalirria,1,2023-07-04 16:19:40,"Kode negara kok gak bisa muncul-muncul, padahal koneksi internet saya bagus."
fauzy tamim,1,2023-07-04 16:02:35,Niat apa egak ini developer nya
ahmad deni,3,2023-07-04 15:49:52,"Tolong saya tidak bisa login via no telepon. Muncul pesan error ""nama negara tidak ditemukan"" Saat pilih indo. Tolong saya butuh sekarang"
Mantri Vgc,1,2023-07-04 15:31:26,Aplikasi cacat mau log in aja gak bisa
Hasma,1,2023-07-04 15:30:39,"peduli lindungi di ubah ke satu sehat malah tambah parah, sudah suntik tapi sertifikat ngga ada. dan layanan 199 udah ngga ada untuk sertifikat vaksin"
silvia wahyuni,1,2023-07-04 15:25:19,Udah diupdate malahan ngak bisa masuk. Ngak ada guna diupdate malah tambah jelek
Aan Fran,1,2023-07-04 14:43:34,"Saya susah vaksin booster 3 minggu yang lalu dan sampai sekarang belum muncul juga sertifikat nya. Saya sudah hubungi WA maupun email tpi tidak ada jawaban. Tolong saya butuh sertifikat untuk melamar kerja. Lebih bagus apk yg dulu, yg ini jelek"
Suning Avrile,3,2023-07-04 14:38:38,Ini kenapa sih aku gabisa unduh sertifikat vaksin nya yah?
M Iqbal Maulana,1,2023-07-04 13:09:51,"Gagal download sertifikasi vaksin, padahal sudah ganti device dan jaringan masih tetap erorr"
Naya ND,1,2023-07-04 11:51:19,"Asli gk jelas ini aplikasi,setiap habis diperbarui lgsg ke log out. Ya kali suruh log in berkali2. Males lah. Dah sana pake aplikasi ny sendiri"
Figo Mlg,1,2023-07-04 10:45:18,Banyak Bug
dwi sofi dermawan,1,2023-07-04 10:39:24,Aplikasi gak mutu blasssssss
Deddi Agus Ferdiansyah,1,2023-07-04 09:52:21,tidak bisa loginnnn padahal kode nya sudah benarr taik lah
Prabowo,1,2023-07-04 09:51:15,Bad
Rifki Jprn,1,2023-07-04 09:42:46,"Di aplikasi yang lama sudah vaksin yang ke 3 kenapa semenjak update cuma vaksin ke 1 ?, Kalo mau update pikir pikir lagi min"
maudy triana,1,2023-07-04 09:26:45,Gaisaa login
muhadi 0390,1,2023-07-04 07:57:50,Kenapa ga bisa update ya.. pake yang lama ga mau kebuka karena harus update.. tp di update malah ga bisa.. tolong bantu yang faham..
ALDI,1,2023-07-04 07:31:09,"Aplikasi problematik, udah vaksin 3 tapi ga muncul muncul"
Samba,1,2023-07-04 07:06:54,Knp boste ke 3 gak ad kok cmn yg pertama aj yg ad apl menjijikkan
Putraaa,1,2023-07-04 07:04:19,"Virus di buat"", vaksin bkin nambah penyakit, aplikasi ilang kabar, skrng mau update APLIKASI LU NYANGKUT DI HP GW, GABISA KE INSTAL GABSA KE UPDATE, BKIN MACET UPDATE APLIKASI LAIN K0NT00LLLL!!!!"
Ronald Mariccon,4,2023-07-04 06:44:30,"Aplikasi yang cukup membantu,"
Fahri Ahmad,5,2023-07-04 05:54:33,🤝
Samser Manik,5,2023-07-04 01:32:12,👍
sugi artix,1,2023-07-04 00:46:03,"Sdh gk ada covid udh gk dibutuhkan lagi, buat apa coba menuhin doang 🤪"
Pangeran Story,1,2023-07-04 00:04:33,Fake
Yuke Yulia Elvan,1,2023-07-03 23:03:33,"Diketerangan jelas jelas bilang aku sudah vaksin 2 kali, tapi pas mau check / print sertifikatnya malah ga ada. Gimana coba?"
Hamzah Akshal_009,3,2023-07-03 22:36:48,Ribett mau download hasil booster aja gabisa
Siti Munjarohmi,4,2023-07-03 21:05:54,R4kpim. B. . J v
April liana,3,2023-07-03 20:19:26,Udah vaksin dosis kedua tpi tetep ga muncul sertifikat nya . Gimana sih susah banget
Aditia Gumay,1,2023-07-03 20:18:58,"Saat memakai peduli lindungi semua nya mudah di akses, Tapi setelah di update menjadi satusehat data saya tidak bisa masuk no tlp maupun email... Bukan mempermudah malah mempersulit..."
TRIPLE 7,1,2023-07-03 19:15:14,Ini aplikasi kegunaannya apa ya...?
ANAK Kost,1,2023-07-03 18:53:25,Parah malah gak bisa login
Zirah Fadilah,1,2023-07-03 18:07:48,Gak bisa cek vaksin LG aplikasi ya gak guna
Nazkif,1,2023-07-03 16:43:28,Kapan Gw Donload Apk Ini?
Anggun Triutami,1,2023-07-03 15:09:19,"Kembalikan apk yang lama aja nahhh, ini ga jelas susahhh bikin emosi"
Setya Budi,5,2023-07-03 13:42:00,"awalnya vaksin saya tidak muncul diapk.tapi saya lapor cs berkali"" akhirnya ditanggapi oleh cs julia lewat wa.bahkan punya ibu saya juga dibantu benerin.terimakasih"
Takumi,1,2023-07-03 13:32:33,aplikasi tolol gak guna
Phet _Projeck,2,2023-07-03 13:14:55,Belum bisa di install
Sigit Nugroho,5,2023-07-03 13:04:09,Jadi bebas bepergian kemana saja
Mas Ahmad,1,2023-07-03 12:26:56,Sertifikat vaksin gw hilang
Jill Qey,5,2023-07-03 11:53:09,👍🏻👍🏻
Stefany Kusumardani,1,2023-07-03 11:17:35,Gagal login terus
Much Nurul Ainul Yakin,1,2023-07-03 10:36:23,"sumpah jelek banget, ga guna, bikin bingung"
Supri Adi,1,2023-07-03 10:28:31,"Memang buruk, peduli lindungi masih bagus tp sekarang seperti tidak berguna"
Ari Andriawan,5,2023-07-03 10:03:12,"sudah endemi, mulai tidak digunakan lagi kan ini? mau saya uninstal soalnya."
Tota Meri,5,2023-07-03 09:51:48,Di coba
Diaz Kusnul,1,2023-07-03 09:46:09,hadeuh ada ada aja segala di update
GamersIndo,1,2023-07-03 09:43:07,Aplikasi ga jelas fix
Nabila Fadly,1,2023-07-03 09:41:50,kjf
Amira Hakimatul,1,2023-07-03 09:40:10,Gimana sih lagian pake di ubah segala udah benar yang pedulilindungi jadinya kan susah daftar pake gmail gak bisa padahal sudah benar pake no tlp gk bisa padahal sudah bener juga
TIUR MARIA APRIANY PULUNGAN,3,2023-07-03 09:29:59,"Lemot,udh di masukin otp bjer tp di bilang salah trs"
Yosep Amiludin,1,2023-07-03 08:50:35,Payah gabisa login sama sekali
Abizan Ahmad,1,2023-07-03 06:29:48,Ini sertif sya ko ga muncul yah? Dahal last vaccine itu di booster 1 .. tp ko ga ada ya? Ini abis update ko malah aneh sih 👎🏻👎🏻👎🏻
Marsito Inorimasu,1,2023-07-03 05:12:02,Gak bisa login.
Hapilah Ciputra,1,2023-07-03 00:30:02,"Gausah ada helpdesk klo hanya memberikan saran tanpa menyelesaikan masalah,, buang buang duit rakyat,, gw klaim sertifikat 3 ajh ga bsa udah brbulan bulan faskesnya jga udah ga buka,, nyusahin rakyat ajh tolol"
Anwar Effendi,5,2023-07-02 22:32:06,Oke
Della Hardiana Listi,1,2023-07-02 22:14:09,"Udah bagus dulu pedulilindungi, sekarang update ke satu sehat malah payah, udah vaksin Booster 1, 8 bulan yang lalu tapi diaplikasi tiket booster 2 belum keluar. Setiap menghubungi Kemenkes RI selalu gaada respon, padahal butuh buat kerja"
Ilham Ib,5,2023-07-02 21:14:28,membantu banget
Dafa Ardiansyah,1,2023-07-02 20:09:10,Aplikasi semakin BURUK sertifikat vaksin aja ga muncul
Thimoty Kevin,1,2023-07-02 19:30:31,Vaksin pertama dan kedua saya hilang Knapa setelah update jadi begini.
Veri Setiawan,1,2023-07-02 18:18:12,"Kenapa masih ada beberapa rs yang mewajibkan keluarga pasien untuk tes antigen,, gk guna dong vaksin boster..."
bahtiar ilmiawan,1,2023-07-02 17:54:36,Si update malah makin buruk
Donny Roy Andres,5,2023-07-02 17:02:48,Good 👍👍
Paijo 4,5,2023-07-02 16:21:48,"KAKEAN UPDATE!km cuma bs bilang mohon maaf atas ketidak nyamanannya,INI JUSTRU GAK NYAMAN KALO SERING UPDATE?PAHAM?APLIKASKMU HABIS DI UPDATE MALAH GK BISA DIPAKE IKI PIYE?ISO GAK KOEN NGGAWE APLIKASI?"
Sarjikopler Sarjikopler,5,2023-07-02 15:46:22,Baguss
Muslihah Munzilin,1,2023-07-02 15:30:43,Gak bisa di download ya ampuuun
Reza Fahlovi,1,2023-07-02 14:24:08,"Bug mulu, hasil vaksin ga muncul, bikin susah aja, makin di update makin gajelas, banyakin lagi aja aplikasi ga penting"
Choirul Roviqi,1,2023-07-02 12:45:32,sudah umur 18th vaksin booster sudah waktunya tpi tiketnya belum muncul²!!!!!!!
Asya Killah,1,2023-07-02 12:29:46,Masa ada vaksin k 1 doang pdhl udh vaksin 3 😌 G jls bet apk yg baru mending apk yg lama
agung Gunaepi,1,2023-07-02 12:01:25,Apk jelek . Mau masuk udah terdaftar malah sering muncul nama tidak sesuai dengan nik
Mamah Racing,1,2023-07-02 11:55:52,Aplikasi ga bisa di buka.kalo yg peduli lindungi dlu di klik langsung sat set ini malahan. Diem aja
muhamad sukron,1,2023-07-02 10:58:47,Nomor Uda bener kode otp Uda bener malah gabisa login gajelas
Isti Rosanah,1,2023-07-02 09:40:14,tolong klo ada yang komplen soal vaksin dan sertifikat belum di updeat cepet² di updeat
Arief Heriyanto,5,2023-07-02 08:39:45,"Banyak bacot yang bilang kagak bisa login. Bikin app kagak bisa, ngedumel aje idup lu. Dasar beban negara!"
Ricky Sans gaming,5,2023-07-02 08:35:19,"Customer service nya sngat membantu, trimakasih"
Alya Lintang,1,2023-07-02 07:27:16,"ini gimana sih? masak buat login selalu out terus, tolong perbaiki dong!!!!!"
Yulian Ajh,1,2023-07-02 07:01:18,Di update bukannya makin bagus ini malah ancur... Depeloper gak becus perbaiki aplikasi
christyan steven,5,2023-07-02 06:44:53,"Baru update malah sertifikat Vaksin booster ke 2 sy hilang, gmn sih tlg di perbaiki, karena sebelumnya sewaktu masih peduli lindungi sertifikat booster 2 saya masih ada"
Mega Mega,1,2023-07-02 04:54:33,"Apk gak jelas. Email, email saya. Akun , akun saya tapi begitu masuk ehh malah data orang.🤦🏼‍♀️"
sindi afrilyantirahayu,1,2023-07-01 22:24:52,"Padahal udh vaksin ke 3 tapi ga muncul"" trs"
Kinan Seven Mirzan,5,2023-07-01 21:01:01,Mudah2an setelah di upgrade lebih bagus dan baik pengaturannya
Auli Ramdani,1,2023-07-01 20:46:07,Tolol ini yg update apk update gk guna tolol emang jauh enakan versi lama skrng mau ngecek akun lain pun susah tolol lahir ini yg update
Andi Sulistiono,1,2023-07-01 20:19:56,Banyak bug
Hhcy,1,2023-07-01 17:17:53,"Aplikasi ngga guna,yg ada malah makin mempersulit,udah vaksin dosis tiga tapi di apk muncul nya cuma dua"
JOHN CHANEL,1,2023-07-01 16:07:30,Aplikasi terlalu lambat sudah boster pertama masih aja belum muncul di riwayat online tidak ada adminnya kah ini aplikasi
Lailatus Shiva,3,2023-07-01 15:32:29,"Kenapa saya belum dapat tiket vaksin dosis ke 3 ya katanya suruh nunggu 6 bulan lagi tapi knp teman saya belum ada 6 bulan sudah keluar tiket vaksin nya ,,,, tolong dong di jwb"
Mohammad rusydi Attamimi,1,2023-07-01 15:10:11,Kenapa strifikat vaksin kok muncul cuma vaksin pertama padahal sudah vaksin kedua Tolong di perbaikin
Cindy Theresia,1,2023-07-01 14:32:18,"Gila sih tambah jelek banget aplikasinya statusnya cuman vaksin 1 padahal sya udah vaksin 3 Aplikaso yg lama aman"" aja waktu itu muncul semua sertifikat vaksinnya, skarang kok gak ya"
RAHMAT,1,2023-07-01 13:13:53,Susah login-nya. Mau daftar akun kode nya gak masuk-masuk ke wa. Udah di coba berapa kali pun tidak bisa. Masih mending aplikasi sebelum di update
Kong,1,2023-07-01 13:02:55,Ngapa kgk bisa daftar kagak bisa login. Sumpah kgk masuk akaallll
Gustia nilam sari,1,2023-07-01 12:52:16,Jelek banget mau download sertifikat vaksin aja susah banget
Widy Manis,1,2023-07-01 12:24:29,Aplikasi semakin ga jelas yang di tampalikan cuma punya ibuku saja mending gak usah di kasih sertifikat kalo hasilnya begini
Agung Sulaksono Saputra,5,2023-07-01 12:09:19,Mantul pisan
Alvin Rivanzaaa,1,2023-07-01 12:04:34,Tiket vaksin dosis 3 tidak muncul
Anis Haris,5,2023-07-01 09:21:09,Ok is the best 👍👍👍👌👌👌
Billal azwa Azwa,1,2023-07-01 09:05:34,Udah didowloand 100 % gk bisa di buka Di ulang brpa kali juga masih sama.. Tolong di perbaiki lagi
Muhamad Fajar,1,2023-07-01 08:00:12,Semakin buruk
Sunawan Iami,5,2023-07-01 07:54:53,6mik
Ahmad Muhtarom,1,2023-07-01 07:29:41,"anehh, padahal udah booster tapi di riwayat vaksin baru vaksin 2☺️"
BIG HERO,1,2023-07-01 06:53:15,Update setiaphari
suhar yono,1,2023-07-01 06:49:10,Masa Sy sdh Vaksin 3 kali. Pas pesan tiket Kereta tertulis belum Vaksin. Apa Program nya jelek. Apa engga ngeling. Dari Peduli lindung ke salam sehat. Jadi engga jelas. Istri Anak saya tertulis sdh Vaksin. Sedangkan Sy tiap hari Naik Computer line. Dari awal emang harus punya Vaksin. Dan menjadi keharusan.
Retno 7963,1,2023-07-01 05:54:18,Aplikasi ini tidak dapat di perbahurui
Supiyah Binti Surani,1,2023-07-01 04:56:11,"sudah berbulan-bulan sertifikat vaksin boster kedua tidak muncul.., sudah dicek ke Puskesmas tempat vaksin tetapi pada layar monitor nampak data disistem mentok datanya puskesmas tidak tembus ke Satu Sehat.. cuma barcode yg jadi pegangan bukti manual sudah booster kedua.. APLIKASINYA YG JELEK ATAU MEMANG OPERATORNYA YG JELEK ???"
Najib maulana,1,2023-07-01 02:12:27,KEMBALIKAN PEDULI LINDUNGI KE VERSI LAMA
Epul 34,1,2023-06-30 22:54:25,"masukin nomor verifikasi bner tp ttp salah mulu di sistem, mna lg urgent"
Suwandi Akhdan,4,2023-06-30 22:46:42,"Terima - kasih.., jaga akun dari peretas ...."
Doni Agustia Romli,1,2023-06-30 22:20:59,"Kemarin, kami habis ada pembaruan sistem di handphone. Dan setelah selesai pembaruan, ketika kamu hendak ingin mengakses Aplikasi ini kenapa malah sulit...!!"
firsilia br siringo ringo,1,2023-06-30 20:47:42,"Aplikasi yang sangat buruk, tidak bagus dalam pelayanan membuat orang semakin bingung nya,hanya bisa untuk satu akun untuk sertifikat vaksin nya!!!!!!"
Josh Kelly,1,2023-06-30 20:40:29,"Sertifikat Vaksin knp lama banget tdk muncul, sdh 2 minggu lebih. Aplikasi sejak di up date malah gak sempurna. Bagusan system Peduli lidungi yg lama. Ini banyak keluhan dari teman2x lain juga. Mohon di perbaiki systemnya. Terima kasih."
Ratihsafitri,1,2023-06-30 20:26:15,Jadi ngaco begini ni apk sangat buruk sekali
Himawan Tjhin,1,2023-06-30 20:16:01,"Waktu daftar, setelah di kasih kode otp, setelah input disuruh terima syarat dan ketentuan. Tpi setelah di accept, nomor otp nya dianggap tidak valid, padahal belum 2 menit. Sudah terjadi di 2 akun yang berbeda."
Indah Febriani,1,2023-06-30 20:01:38,ga bisa masuk apk nya gk maksudd
Overdoses Jo,4,2023-06-30 19:57:21,Oke
Rhoni Yanto,1,2023-06-30 18:43:00,Padahal udah vaksin booster tapi yang tercatat masih vaksin 1 dan anehnya di minta vaksin lagi
yuddy semprulll,1,2023-06-30 18:38:56,Ini knp ya saya mau masuk susah bgt pdhl no telfon udh bner ...
LNA Abait,5,2023-06-30 16:28:32,Tt lagi ya kak mengurangi
Sriyono Yono,5,2023-06-30 15:36:40,Jos
Arif Syafiq,1,2023-06-30 15:26:23,Urep wes mumet mah mbok persulit asuog
Hendyansyah Pramana Dirza,1,2023-06-30 15:22:33,Woi kartu vaksin gua kemana yg pertama sama kedua ?? Di status vaksin ke dua udah ceklis ijo.. Tapi pas mau cetak kartu malah notifnya anda belum Melakukan vaksin.. 3 bulanan lalu masih ada dan bisa di download..
Fatkhul ikhsan,1,2023-06-30 14:23:36,"kenapa sertifikat dosis 3 tidak keluar padahal udh vaksin 3 loh, nanggung bgt,bagusan apk peduli lindungi daripada ini🗿"
Jeniffer Sompotan,5,2023-06-30 14:20:49,ZZ222A-ez-szazzz------‐‐--------------z!+×zZzZzzzzzz@@sZzzzsZsZzzzzszzzzzzzzzzzzzZzz!
Nasya Nisma,1,2023-06-30 13:52:23,"Busuk lah , lebih bagus aplikasi ojol"
Deny doank doank,3,2023-06-30 12:54:48,Semoga membantu
tiwi putri utami,1,2023-06-30 12:17:38,Aplikasi elit login sulit.
Noval Febrian,1,2023-06-30 10:47:54,Cara cek id nya gimana kenapa di persulit yaampun
Bambang Sumardito,5,2023-06-30 10:02:49,Tidak akurat
DEDI HERDIANTO,5,2023-06-30 09:22:01,Mantap
Bocil Biadabb,1,2023-06-30 08:34:12,Buruk amat susah login
Heru Ramadan,1,2023-06-30 06:02:25,"Uteke pie iki update malah ngawur,sertifikate vaksin endi cok"
Herni Herni,1,2023-06-30 05:52:12,Ffgfn📯😎👨📯👨👨👨📯📯📯
Zaed Abdul hamid,1,2023-06-30 01:17:06,"Aplikasi gak jelas . Sudah 2 bulan sertifikat vaksin ke 3 tidak muncul"". Makin update makin ribet. Malah bikin susah ."
Septian,1,2023-06-29 22:07:18,Ini kenapa ga bisa liat id sertifikat vaksin sebelom update bisa tolong lah ini gimana orang perlu buat kerja
Rikhadatul Aissy,1,2023-06-29 21:56:57,"Ini knp aplikasinya?, Pdhl blm di update malah ke update sendiri, data"" vaksin sm imunisasi balita jd hilang semua gmn sih?"
Ryan Snrt,5,2023-06-29 21:21:26,Sangat bagus
Erik Septia Dharmawan,1,2023-06-29 21:11:12,Dana buat pengembangan aplikasi kena potong yeaa????
Rahman Rahman,1,2023-06-29 19:41:34,"Udah diupdate ko gabisa daftar. Sudah dimasukan no nik kenapa ada tulisan "" Nik sudah terdaftar"". Tolong izin diperbaiki lagi. Sungguh kecewa!!!"
Kyo_al,1,2023-06-29 19:15:34,"Enggak jelas mau daftar aja selalu bilangnya nama enggak sesuai sama NIK. Udh di cross check berkali-kali pun juga yah bener-bener aja, lah klo itu enggak sama terus NIK gw salah gitu? Atau jangan-jangan nama gw ganti gitu? Aneh banget sih"
Mochamad Seno Aji S,5,2023-06-29 16:56:39,"Bintang 5, Manteb Banget"
Danil Kens,1,2023-06-29 15:21:52,KINERJA BURUK!!!!
Morning Wed73,1,2023-06-29 15:00:05,"Sejak update n ganti nama, mau masuk jadi susah,,,kode otp yg dikirim via WA dibilang salah terus....kacau!!!!!"
Muhammad chaidir Idir,5,2023-06-29 12:25:41,Bagus
Muhamad Reza,1,2023-06-29 12:12:45,tolol
Freddy Tutud,5,2023-06-29 10:47:02,Demi kesehatan pasti bagus
Rijwal muslim Muslim,5,2023-06-29 09:51:37,peduli lidungan kartu paksin
Faris Adam,1,2023-06-29 09:29:37,Aplikasi ga guna
Nurul Hujaimah,1,2023-06-29 08:50:01,Sampah banyak iklannya malware hati2!
Tari Sabilah,1,2023-06-29 08:30:17,"Ini gimana sihh.. abis di update koq malah semerawut.. malah lebih OK yang sebelumnya.. belum lagi klo no HP orang tua nyangkut ke anak, jadi yang nongol setifikat vaksin cuma satu doank.."
Badri Cairo,1,2023-06-29 05:15:06,Kenapa strifikat vaksin kok muncul cuma vaksin pertama padahal sudah vaksin kedua
Saputra,1,2023-06-28 22:23:19,Suka eror klo msuk aplikasi nya
Adi Raja,2,2023-06-28 22:05:24,Buruk
Muhammad Mustopa,1,2023-06-28 20:17:47,Saya ingin mengunduh sertifikat vaksin saya.tetapi kenapa tidak bisa di proses?
Samsul Ahmad maarif,1,2023-06-28 19:12:07,Knp aplikasi nya nambah GK jelas tolong lah aplikasi nya buat kaya dulu lg makin ke sini makin GK jls aplikasi nya
Anton La Rosi,1,2023-06-28 19:10:23,"Untuk smntra Bintang 1 aja dlu Sblm Aplikasi ini Di perbaiki,, Sertivikat Vaksin Tidak Ada di Aplikasi,, Padahal sdah Vaksin dan wktu vaksinnya sdh lama,,beda dengan Aplikasi Sblumnya,, Stelah Vaksin Lngsung sertivikatnya terbaca Di Aplikasi,,pokoknya Aplikasi ini kurang bagus"
Kharis Syaefullah,1,2023-06-28 18:35:21,"Makin kesni makin gk jelas, sertifikat vaksin tidak lengkap, orang vaksin apa yg muncul divaksin apa.. Apk sekelas pemerintag bgni njirr"
Alexsander Primanto,1,2023-06-28 18:21:26,Rumit ga jelas
Okta Anggraini Nugroho,1,2023-06-28 16:46:51,Diupdate bukannya tambah bagus tapi tambah bobrok. Udh vaksin dosis 3 di aplikaai tertulis vaksin pertama
Wisnu OT,1,2023-06-28 16:38:47,Ko kartu vaksin ku hilang padahal udah vaksin 3kali. Saya butuh untuk mendaftar loker yg mengharuskan kartu vaksin. Tolong di perbaiki
Nanang Prabubunisara,1,2023-06-28 16:16:54,Tambah jelek setelah update ke satu sehat.... tidak bisa masuk ke satu sehat.... minta registrasi. Mau registrasi ada tulisan user alrady exist.. mending di uninstal saja percuma.. lagian covid sudah basi.... setiap buka satu sehat minta update terus.. ngabisin kuota saja.... .dari jaman batu admin jawabannya selalu mohon maaf sedang perbaikan....sampai kiamat mungkin jawabannya mohon maaf terus.....jadi tambah goblog kita setelah covid... tambah sakit dengan aplikasi satu sehat.
Rakaazzh Wijaya,1,2023-06-28 15:34:51,gajelas udah gua update tetep aja gamuncul sertifikat vaksin
Mbliyut Chanel,1,2023-06-28 14:45:37,Iki asline aplikasi opo se.... Kok update2 terus.... Fungsi ne gawe opo??
Lek Jum,2,2023-06-28 14:45:16,"Unduh sertifikat aja gagal terus, mana gabisa pake web lagi"
sindi triyanto,1,2023-06-28 14:39:37,saya kenapa tidak bisa masuk akun saya .aneh sekali nih aplikasi yg sekarang
Nanang Wijayanto,1,2023-06-28 13:06:52,Pelayanan buruk
YobEagger 89',1,2023-06-28 12:30:41,"Gak bisa daftar, nama tidak sesuai nomer NIK!"
Surya Devi,1,2023-06-28 11:56:04,Kagak jelas
Firdaus Mandako,5,2023-06-28 11:49:02,Ok
un knownights,5,2023-06-28 11:26:11,Pelayanan mengenai masalah akun melalui email ditangani sangat cepat
MutiaIntan Pamikatsih,1,2023-06-28 10:53:06,Makin sini malah makin kesana. Download sertifikat aja gagal Mulu. Sbnernya buat aplikasi memudahkan apa membuat emosi sih?
Dimas Efendy,1,2023-06-28 10:51:15,Makin susah
Havid Fajar,1,2023-06-28 09:49:40,"Hebat bngt apk ini mau masuk aja susah banget katanya tunggu notifikasi lewat wa,, iya tunggu sampe leberan monyet"
Sugito,1,2023-06-28 09:42:27,Bikin kecewa aja selalu minta di perbarui Mulu✌️😇
N Tha,1,2023-06-28 09:11:08,Tidak memuaskan sertifikat bosster saya tidak pernh muncul dan hnya suruh nunggu
agung satrio,1,2023-06-28 08:45:17,"udh buang waktu utk booster, status masih vaksin dosis 2 padahal udh sebulan lalu.. ah sudah lah.."
Ido Zakaria,1,2023-06-28 08:35:54,"Kodeverifikasi sudah benar, masih ngak bisa login"
Muhammad nur Fikri,1,2023-06-28 08:23:50,Aplikasi makin kesini malah makin kesana. Waktu saya daftar akun sehat kenapa nama tidak terdaftar di nik padahal sudah saya tulis dengan benar. Mohon solusinya🙏
Muh Levi,1,2023-06-28 08:07:03,Aplikasi jelek gk guna biar login pas sudah kasih masuk pw yang dikirim malah salah tunggu 2 menit lebih pas coba lagi salah padahal udah sama bahkan gua udah salin...dan udah cekatan langsung kasih mask cepat pw tpi gk bisa? Maksud?ngajak tawuan?
Rames Siagian,1,2023-06-28 07:33:42,Kurang bagus
Siswati Siswati,5,2023-06-28 06:35:17,Masyarakat Indonesia sehat jasmani dan rohani
Putri Saputri,1,2023-06-28 05:59:14,"Sudah terdaftar email no tlpn kok bilangnya belom,login via no tlpn kode akses gak masuk"""
Achmad Rifa'i R.,1,2023-06-27 23:01:52,Gajelas skrg login gagal terus. Padahal udah bener
O r c a 雨,2,2023-06-27 22:38:31,"Tidak support untuk android 5.1, coba tolong di perbaiki karena hp saya android 5.1"
Achmad Sofian,1,2023-06-27 21:13:00,Sangat buruk dan mengecewakan..
Tegar Saputra,1,2023-06-27 21:11:20,Mau masuk kode verifikasinya gak sampe sampe
Katmo Omtak,4,2023-06-27 20:57:07,Aplikasi ini membantu.
Safira Khoirulanisa Salsabila,1,2023-06-27 20:31:49,di aplikasi peduli lindungi yg dulu walaupun ganti NIK sertifikat vaksin masih ada di bagian status vaksin covid. tapi kenapa di aplikasi ini malah ga adaa?!?!?!?
pubg 38,1,2023-06-27 20:31:27,"ga bisa login,,otp sdh sesuai dbilang salah,,di ulg puluhan kali ttp ga bisa login"
Ahmad Aula Sya'bana,1,2023-06-27 20:23:14,Update Mulu
slamet_ waluyo,5,2023-06-27 20:15:28,Bagus
Deaninur Fatmawati,1,2023-06-27 19:36:57,Aplikasi bodoh
Arif Maulana,1,2023-06-27 19:18:00,"Apk makin gajelas, masukan kode padahal bener,tpi malah salah² Mulu gaje,giliran daftar malah nomer anda sudah terdaftar"
SAPARDI,1,2023-06-27 19:13:15,Makin lemot
Loki awasome,1,2023-06-27 19:09:43,APLIKASI SAMPAH. SERTIFIKAT TIDAK MUNCUL. TIKET VAKSIN BERIKUTNYA TIDAK TERBIT. PERBAIKI APLIKASI SAMPAH INI
Edi,1,2023-06-27 19:06:30,Data Riwayat vaksin hilang semuanya sampai ke booster 1&2
Surya Asmarakandi,1,2023-06-27 19:03:33,"Sejak setahun yg lalu kutinggal ini aplikasi. Sekarang aku update, siapa tau ada perbaikan. Ternyata masih juga parah. Seperti makin gak berguna. 🤦‍♂🤦‍♂🤦‍♂🤦‍♂🤦‍♂😭"
Stefanus Gilang,1,2023-06-27 18:58:55,Ketidakcocokan informasi. Sudah diurus dibenarkan setelah update malah kembali lagi ke data yang salah. Sertifikat vaksin booster juga gak muncul.
Gusradi Adhi,5,2023-06-27 18:52:17,"Bagus lah,jadi ngga repot lagi untuk konsultasi soal kesehatan 🙏"
Nya Di,5,2023-06-27 17:44:18,Bagus
SP GamingID,1,2023-06-27 17:21:17,"Baru juga di update, pas di buka malah gabisa. mentalt/force close mulu padahal penting ini hadeh."
Hamdan Aji Satria,5,2023-06-27 17:20:15,Okk👍
Dewi Siti,5,2023-06-27 16:21:49,Aplikasi ganti lagi
Halil Hsirmah,5,2023-06-27 16:21:16,Oky lh suda cukup jangn di ada ada aja
M ikhsan N,1,2023-06-27 16:09:14,Gajelas aplikasi. Udh divaksin booster malah ga muncul semua. Kocak
UMMU HAFIZH,3,2023-06-27 16:00:20,Bagus.
Rizkia Latief,1,2023-06-27 15:51:30,Sumpah ini aplikasi diupdare buat apa dah?? Kepake nya kan cuna buat liat sertifikat vaksin doang
Nur Hadi,1,2023-06-27 14:26:18,Baik
Leonardo Jansen,1,2023-06-27 13:50:06,Aplikasi gak jelas masak saya sudah tulis nik saya benar benar tapi tetap muncul nik telah digunakan padahal saya cuman daftar buat lihat vaksin aja gak bisa
Rangga Erzha,1,2023-06-27 13:28:54,woy kenapa lah Akun Gak bis masuk Giliran Masukin Akun Malah ID & aku udah di Gunakan Maunya apalah kalo belum siap semua jangan kau ganti APKmu Ini
helmy putra,1,2023-06-27 13:28:54,"Terlalu banyak errornya. Update error, buka aplikasi kadang bisa kadang gak, buka fitur dalam aplikasinya pun begitu. Tolong dibenerin karena banyak programmer Indonesia yang hebat dan bisa, tapi tolong juga bayarnya ke mereka yang bener juga harganya."
Suryadi Chandra Julian,1,2023-06-27 13:15:12,apk ga guna
singoprayoga,1,2023-06-27 12:41:59,susah login bikin males
Haerudin 1985,5,2023-06-27 12:23:12,Mantap
